"mrcas" "Lin_sizes"
"1" 2021-05-09 1
"2" 2021-07-20 1
"3" 2021-05-24 3
"4" 2021-04-25 5
"5" 2021-07-29 1
"6" 2021-07-14 1
"7" 2021-07-25 1
"8" 2021-06-06 1
"9" 2021-07-18 1
"10" 2021-07-24 1
"11" 2021-07-14 1
"12" 2021-07-16 1
"13" 2021-07-25 1
"14" 2021-06-24 1
"15" 2021-06-28 1
"16" 2021-05-29 1
"17" 2021-07-17 1
"18" 2021-06-23 1
"19" 2021-06-24 1
"20" 2021-04-15 1
"21" 2021-07-17 1
"22" 2021-07-18 2
"23" 2021-04-15 1
"24" 2021-05-28 18
"25" 2021-05-24 3
"26" 2021-06-05 1
"27" 2021-06-08 1
"28" 2021-04-23 2
"29" 2021-05-21 1
"30" 2021-08-09 1
"31" 2021-07-01 1
"32" 2021-08-02 1
"33" 2021-06-28 1
"34" 2021-07-18 2
"35" 2021-03-22 2
"36" 2021-05-31 2
"37" 2021-07-21 2
"38" 2021-05-19 3
"39" 2021-07-14 1
"40" 2021-07-29 1
"41" 2021-07-05 3
"42" 2021-07-15 1
"43" 2021-07-18 2
"44" 2021-07-24 1
"45" 2021-07-28 1
"46" 2021-07-14 1
"47" 2021-06-17 1
"48" 2021-07-18 1
"49" 2021-04-27 132
"50" 2021-07-16 1
"51" 2021-07-18 2
"52" 2021-07-28 1
"53" 2021-07-13 1
"54" 2021-07-22 1
"55" 2021-07-25 1
"56" 2021-08-03 1
"57" 2021-07-16 1
"58" 2021-07-11 1
"59" 2021-08-01 1
"60" 2021-08-05 1
"61" 2021-07-25 1
"62" 2021-07-28 1
"63" 2021-06-20 6
"64" 2021-06-02 1
"65" 2021-06-28 1
"66" 2021-05-18 5
"67" 2021-06-07 2
"68" 2021-04-30 747
"69" 2021-07-11 1
"70" 2021-07-21 1
"71" 2021-07-22 1
"72" 2021-07-30 1
"73" 2021-07-16 1
"74" 2021-07-03 1
"75" 2021-07-18 1
"76" 2021-04-25 8
"77" 2021-07-22 1
"78" 2021-08-05 1
"79" 2021-07-21 1
"80" 2021-07-22 1
"81" 2021-07-30 1
"82" 2021-08-10 1
"83" 2021-03-18 10
"84" 2021-08-03 1
"85" 2021-06-24 1
"86" 2021-07-06 6
"87" 2021-08-02 1
"88" 2021-06-09 1
"89" 2021-06-23 15
"90" 2021-06-24 1
"91" 2021-06-12 1
"92" 2021-06-22 3
"93" 2021-07-02 1
"94" 2021-04-23 1
"95" 2021-07-19 2
"96" 2021-07-18 1
"97" 2021-07-17 1
"98" 2021-06-23 3
"99" 2021-04-08 7
"100" 2021-07-06 4
"101" 2021-07-18 1
"102" 2021-08-09 1
"103" 2021-08-06 1
"104" 2021-08-02 1
"105" 2021-06-27 1
"106" 2021-06-19 19
"107" 2021-07-21 1
"108" 2021-07-14 1
"109" 2021-08-05 1
"110" 2021-07-25 1
"111" 2021-04-25 18
"112" 2021-07-15 1
"113" 2021-07-18 1
"114" 2021-07-14 1
"115" 2021-03-28 57
"116" 2021-05-28 1
"117" 2021-05-26 8
"118" 2021-06-24 1
"119" 2021-05-29 42
"120" 2021-07-21 1
"121" 2021-08-02 1
"122" 2021-07-28 1
"123" 2021-07-28 1
"124" 2021-08-06 1
"125" 2021-07-30 1
"126" 2021-07-24 1
"127" 2021-08-03 1
"128" 2021-08-09 1
"129" 2021-05-28 1
"130" 2021-07-29 1
"131" 2021-07-15 2
"132" 2021-07-16 1
"133" 2021-04-25 19
"134" 2021-08-06 1
"135" 2021-08-02 1
"136" 2021-07-30 1
"137" 2021-02-22 21
"138" 2021-07-06 6
"139" 2021-07-14 2
"140" 2021-08-06 1
"141" 2021-07-25 1
"142" 2021-07-29 1
"143" 2021-07-25 1
"144" 2021-06-28 4
"145" 2021-07-14 2
"146" 2021-07-28 1
"147" 2021-07-20 1
"148" 2021-06-16 2
"149" 2021-08-06 1
"150" 2021-07-10 1
"151" 2021-06-14 1
"152" 2021-06-14 2
"153" 2021-05-23 6
"154" 2021-05-24 2
"155" 2021-08-05 1
"156" 2021-06-22 2
"157" 2021-07-15 4
"158" 2021-07-05 1
"159" 2021-06-10 1
"160" 2021-07-22 1
"161" 2021-06-28 1
"162" 2021-06-29 1
"163" 2021-06-21 2
"164" 2021-04-24 21
"165" 2021-07-17 1
"166" 2021-07-05 4
"167" 2021-07-29 1
"168" 2021-07-28 2
"169" 2021-07-25 1
"170" 2021-05-09 109
"171" 2021-08-03 1
"172" 2021-07-24 1
"173" 2021-07-24 1
"174" 2021-08-06 1
"175" 2021-07-26 1
"176" 2021-07-22 1
"177" 2021-06-30 6
"178" 2021-08-02 1
"179" 2021-08-02 1
"180" 2021-07-29 1
"181" 2021-07-22 1
"182" 2021-07-28 2
"183" 2021-05-06 1
"184" 2021-07-26 1
"185" 2021-07-22 1
"186" 2021-03-28 10
"187" 2021-07-14 1
"188" 2021-07-15 6
"189" 2021-08-06 1
"190" 2021-06-13 3
"191" 2021-07-13 1
"192" 2021-08-02 1
"193" 2021-08-09 1
"194" 2021-05-25 1
"195" 2021-06-06 1
"196" 2021-06-28 1
"197" 2021-06-03 4
"198" 2021-07-22 1
"199" 2021-06-23 2
"200" 2021-08-02 1
"201" 2021-08-06 1
"202" 2021-05-30 8
"203" 2021-07-15 2
"204" 2021-06-17 1
"205" 2021-06-13 1
"206" 2021-07-11 1
"207" 2021-06-13 1
"208" 2021-07-14 1
"209" 2021-07-03 1
"210" 2021-08-02 1
"211" 2021-07-29 1
"212" 2021-02-25 60
"213" 2021-07-18 2
"214" 2021-07-30 1
"215" 2021-07-15 1
"216" 2021-07-29 1
"217" 2021-07-06 6
"218" 2021-08-02 1
"219" 2021-06-29 7
"220" 2021-07-10 1
"221" 2021-07-11 14
"222" 2021-07-29 1
"223" 2021-07-25 1
"224" 2021-07-25 1
"225" 2021-07-25 1
"226" 2021-07-06 3
"227" 2021-07-15 2
"228" 2021-08-02 1
"229" 2021-07-28 1
"230" 2021-07-21 1
"231" 2021-07-19 2
"232" 2021-07-24 1
"233" 2021-07-25 1
"234" 2021-07-24 3
"235" 2021-07-15 2
"236" 2021-07-21 1
"237" 2021-07-29 1
"238" 2021-07-25 1
"239" 2021-08-03 1
"240" 2021-08-06 1
"241" 2021-05-13 1
"242" 2021-04-25 1
"243" 2021-04-16 45
"244" 2021-04-25 3
"245" 2021-06-24 4
"246" 2021-07-11 3
"247" 2021-08-03 1
"248" 2021-04-26 2
"249" 2021-06-22 3
"250" 2021-08-03 1
"251" 2021-06-28 1
"252" 2021-07-30 1
"253" 2021-06-16 1
"254" 2021-07-29 1
"255" 2021-06-24 3
"256" 2021-06-17 23
"257" 2021-07-20 2
"258" 2021-06-08 5
"259" 2021-05-16 31
"260" 2021-07-05 4
"261" 2021-08-03 1
"262" 2021-07-15 1
"263" 2021-07-30 2
"264" 2021-07-25 1
"265" 2021-07-15 1
"266" 2021-06-24 5
"267" 2021-07-29 1
"268" 2021-07-25 1
"269" 2021-07-28 1
"270" 2021-07-15 2
"271" 2021-07-05 3
"272" 2021-08-01 1
"273" 2021-07-29 1
"274" 2021-07-17 2
"275" 2021-07-30 1
"276" 2021-05-31 15
"277" 2021-07-29 1
"278" 2021-07-20 1
"279" 2021-07-05 3
"280" 2021-06-17 3
"281" 2021-07-24 1
"282" 2021-06-02 6
"283" 2021-07-06 1
"284" 2021-06-17 1
"285" 2021-06-09 6
"286" 2021-07-30 1
