"mrcas" "Lin_sizes"
"1" 2021-05-09 1
"2" 2021-07-05 3
"3" 2021-07-20 1
"4" 2021-04-21 5
"5" 2021-07-29 1
"6" 2021-07-25 1
"7" 2021-07-14 1
"8" 2021-06-06 1
"9" 2021-07-18 1
"10" 2021-07-14 1
"11" 2021-06-24 1
"12" 2021-07-16 1
"13" 2021-06-28 1
"14" 2021-07-24 1
"15" 2021-04-23 2
"16" 2021-07-17 1
"17" 2021-06-23 1
"18" 2021-06-24 1
"19" 2021-06-02 1
"20" 2021-07-17 1
"21" 2021-07-19 2
"22" 2021-05-29 1
"23" 2021-04-15 1
"24" 2021-05-27 18
"25" 2021-06-05 1
"26" 2021-06-08 1
"27" 2021-05-25 3
"28" 2021-05-21 1
"29" 2021-07-29 1
"30" 2021-06-28 1
"31" 2021-07-18 2
"32" 2021-07-21 1
"33" 2021-07-01 1
"34" 2021-05-19 3
"35" 2021-07-14 1
"36" 2021-07-14 1
"37" 2021-07-28 1
"38" 2021-07-25 1
"39" 2021-07-05 3
"40" 2021-07-21 1
"41" 2021-06-17 1
"42" 2021-07-18 1
"43" 2021-07-14 1
"44" 2021-06-07 4
"45" 2021-07-18 1
"46" 2021-07-16 1
"47" 2021-05-26 15
"48" 2021-07-13 1
"49" 2021-04-22 85
"50" 2021-07-16 1
"51" 2021-07-18 1
"52" 2021-07-25 1
"53" 2021-07-13 1
"54" 2021-07-22 1
"55" 2021-07-11 1
"56" 2021-07-25 1
"57" 2021-06-02 1
"58" 2021-06-28 1
"59" 2021-05-09 7
"60" 2021-04-17 659
"61" 2021-05-25 2
"62" 2021-07-13 1
"63" 2021-07-22 1
"64" 2021-07-22 1
"65" 2021-06-08 3
"66" 2021-06-18 1
"67" 2021-07-15 2
"68" 2021-07-16 1
"69" 2021-05-31 11
"70" 2021-06-10 7
"71" 2021-06-08 3
"72" 2021-07-18 1
"73" 2021-04-17 3
"74" 2021-07-22 1
"75" 2021-07-21 1
"76" 2021-06-17 1
"77" 2021-07-22 1
"78" 2021-05-19 7
"79" 2021-07-16 1
"80" 2021-07-14 1
"81" 2021-06-26 1
"82" 2021-06-13 1
"83" 2021-07-14 1
"84" 2021-06-23 1
"85" 2021-06-21 1
"86" 2021-06-17 1
"87" 2021-06-13 1
"88" 2021-08-06 1
"89" 2021-07-05 3
"90" 2021-07-18 1
"91" 2021-05-15 6
"92" 2021-07-29 1
"93" 2021-07-07 1
"94" 2021-07-25 1
"95" 2021-07-06 3
"96" 2021-08-08 1
"97" 2021-07-18 1
"98" 2021-07-28 1
"99" 2021-07-03 1
"100" 2021-08-02 1
"101" 2021-07-29 1
"102" 2021-07-22 1
"103" 2021-05-27 1
"104" 2021-06-06 1
"105" 2021-07-12 1
"106" 2021-06-28 1
"107" 2021-05-26 3
"108" 2021-06-24 1
"109" 2021-07-12 2
"110" 2021-07-18 1
"111" 2021-07-19 2
"112" 2021-08-02 1
"113" 2021-07-22 1
"114" 2021-07-01 2
"115" 2021-07-10 1
"116" 2021-06-11 5
"117" 2021-06-29 7
"118" 2021-07-10 1
"119" 2021-07-15 13
"120" 2021-08-02 1
"121" 2021-07-25 1
"122" 2021-07-21 1
"123" 2021-07-15 2
"124" 2021-07-29 1
"125" 2021-07-25 1
"126" 2021-05-13 1
"127" 2021-04-25 1
"128" 2021-04-13 45
"129" 2021-06-24 6
"130" 2021-03-08 45
"131" 2021-06-28 1
"132" 2021-06-16 1
"133" 2021-07-29 1
"134" 2021-06-07 19
"135" 2021-07-30 1
"136" 2021-07-06 1
"137" 2021-06-23 4
"138" 2021-07-25 1
"139" 2021-07-18 3
"140" 2021-07-18 1
"141" 2021-08-03 1
"142" 2021-07-29 1
"143" 2021-07-17 2
"144" 2021-06-08 13
"145" 2021-07-08 3
"146" 2021-06-17 3
"147" 2021-06-22 6
"148" 2021-07-05 3
"149" 2021-08-01 1
"150" 2021-07-06 1
"151" 2021-07-15 1
"152" 2021-06-17 1
"153" 2021-06-04 1
"154" 2021-06-01 8
"155" 2021-07-18 1
"156" 2021-07-18 1
"157" 2021-08-02 1
"158" 2021-06-17 13
"159" 2021-07-08 4
"160" 2021-07-19 2
"161" 2021-07-24 2
"162" 2021-05-19 11
"163" 2021-07-17 1
"164" 2021-07-11 3
"165" 2021-06-27 6
"166" 2021-08-03 1
"167" 2021-07-30 1
"168" 2021-07-26 1
"169" 2021-07-03 1
"170" 2021-06-28 1
"171" 2021-06-03 43
"172" 2021-07-07 1
"173" 2021-07-22 1
"174" 2021-07-19 2
"175" 2021-07-26 1
"176" 2021-07-13 1
"177" 2021-07-29 1
"178" 2021-07-03 1
"179" 2021-07-22 1
"180" 2021-04-27 3
"181" 2021-07-18 2
"182" 2021-07-29 1
