"mrcas" "Lin_sizes"
"1" 2021-08-10 1
"2" 2021-05-09 1
"3" 2021-06-06 1
"4" 2021-06-16 3
"5" 2021-06-24 1
"6" 2021-05-18 3
"7" 2021-08-16 8
"8" 2021-07-14 1
"9" 2021-06-23 1
"10" 2021-06-24 1
"11" 2021-05-12 77
"12" 2021-04-15 1
"13" 2021-05-29 1
"14" 2021-06-02 1
"15" 2021-06-08 1
"16" 2021-06-05 1
"17" 2021-05-25 4
"18" 2021-04-23 2
"19" 2021-05-21 1
"20" 2021-06-28 1
"21" 2021-07-21 1
"22" 2021-07-18 1
"23" 2021-09-04 1
"24" 2021-04-26 38
"25" 2021-07-14 4
"26" 2021-08-08 2
"27" 2021-07-18 1
"28" 2021-08-23 3
"29" 2021-08-09 1
"30" 2021-07-26 11
"31" 2021-08-17 1
"32" 2021-07-09 2
"33" 2021-07-05 18
"34" 2021-08-14 1
"35" 2021-06-26 3
"36" 2021-08-16 9
"37" 2021-08-17 1
"38" 2021-08-22 1
"39" 2021-06-17 1
"40" 2021-05-20 3
"41" 2021-06-02 1
"42" 2021-06-18 1
"43" 2021-06-14 1
"44" 2021-05-30 4
"45" 2021-06-09 1
"46" 2021-05-23 672
"47" 2021-08-17 1
"48" 2021-06-24 1
"49" 2021-08-29 1
"50" 2021-09-06 1
"51" 2021-08-17 2
"52" 2021-08-08 9
"53" 2021-09-01 1
"54" 2021-09-21 1
"55" 2021-08-29 1
"56" 2021-06-09 2
"57" 2021-09-01 1
"58" 2021-09-10 1
"59" 2021-06-23 2
"60" 2021-08-09 11
"61" 2021-08-16 3
"62" 2021-08-05 1
"63" 2021-07-21 1
"64" 2021-08-18 1
"65" 2021-09-05 1
"66" 2021-08-29 1
"67" 2021-07-28 1
"68" 2021-06-27 1
"69" 2021-08-17 2
"70" 2021-06-24 1
"71" 2021-08-16 1
"72" 2021-08-09 6
"73" 2021-08-12 1
"74" 2021-08-23 4
"75" 2021-08-23 9
"76" 2021-08-29 1
"77" 2021-09-02 1
"78" 2021-06-26 9
"79" 2021-09-01 1
"80" 2021-07-06 45
"81" 2021-05-24 3
"82" 2021-06-18 1
"83" 2021-09-01 1
"84" 2021-09-13 1
"85" 2021-09-04 2
"86" 2021-09-16 1
"87" 2021-08-02 1
"88" 2021-06-29 1
"89" 2021-09-02 1
"90" 2021-05-28 2
"91" 2021-07-03 1
"92" 2021-09-05 1
"93" 2021-05-27 18
"94" 2021-06-17 2
"95" 2021-08-29 1
"96" 2021-08-25 2
"97" 2021-09-02 1
"98" 2021-06-12 3
"99" 2021-06-17 2
"100" 2021-07-25 2
"101" 2021-08-08 1
"102" 2021-08-16 1
"103" 2021-08-09 4
"104" 2021-08-23 8
"105" 2021-08-30 1
"106" 2021-07-11 20
"107" 2021-06-28 1
"108" 2021-04-24 5
"109" 2021-08-02 1
"110" 2021-08-14 1
"111" 2021-08-10 1
"112" 2021-08-08 2
"113" 2021-07-14 10
"114" 2021-08-05 11
"115" 2021-06-28 1
"116" 2021-09-05 1
"117" 2021-06-05 5
"118" 2021-08-30 3
"119" 2021-07-17 1
"120" 2021-09-05 1
