"mrcas" "Lin_sizes"
"1" 2021-08-21 1
"2" 2021-05-08 1
"3" 2021-04-23 5
"4" 2021-07-28 1
"5" 2021-07-20 1
"6" 2021-09-11 1
"7" 2021-06-06 1
"8" 2021-07-18 1
"9" 2021-07-15 1
"10" 2021-06-27 1
"11" 2021-06-23 1
"12" 2021-06-22 1
"13" 2021-06-23 1
"14" 2021-05-08 98
"15" 2021-05-29 1
"16" 2021-06-02 1
"17" 2021-04-14 1
"18" 2021-06-04 1
"19" 2021-06-07 1
"20" 2021-05-23 4
"21" 2021-04-22 2
"22" 2021-05-21 1
"23" 2021-05-19 3
"24" 2021-07-25 1
"25" 2021-07-20 1
"26" 2021-08-19 1
"27" 2021-06-28 1
"28" 2021-07-29 1
"29" 2021-06-30 1
"30" 2021-07-04 3
"31" 2021-07-13 1
"32" 2021-08-06 1
"33" 2021-08-06 1
"34" 2021-11-02 1
"35" 2021-07-20 1
"36" 2021-06-17 1
"37" 2021-08-16 2
"38" 2021-08-26 1
"39" 2021-08-27 1
"40" 2021-07-24 2
"41" 2021-07-21 1
"42" 2021-06-05 15
"43" 2021-04-26 36
"44" 2021-07-20 4
"45" 2021-09-28 1
"46" 2021-09-30 1
"47" 2021-06-24 1
"48" 2021-08-11 1
"49" 2021-07-25 1
"50" 2021-06-28 12
"51" 2021-04-23 478
"52" 2021-05-16 1
"53" 2021-08-25 1
"54" 2021-06-29 1
"55" 2021-08-02 2
"56" 2021-06-24 1
"57" 2021-06-21 1
"58" 2021-08-22 1
"59" 2021-05-20 2
"60" 2021-11-10 1
"61" 2021-08-15 5
"62" 2021-07-30 1
"63" 2021-06-29 12
"64" 2021-08-29 1
"65" 2021-09-05 2
"66" 2021-04-14 3
"67" 2021-06-21 2
"68" 2021-08-23 4
"69" 2021-06-21 3
"70" 2021-06-28 1
"71" 2021-06-24 1
"72" 2021-07-24 1
"73" 2021-08-21 1
"74" 2021-06-24 33
"75" 2021-06-30 43
"76" 2021-09-13 1
"77" 2021-07-17 1
"78" 2021-06-23 3
"79" 2021-04-14 124
"80" 2021-09-14 1
"81" 2021-08-02 1
"82" 2021-08-05 1
"83" 2021-06-17 1
"84" 2021-08-22 9
"85" 2021-04-22 37
"86" 2021-10-15 1
"87" 2021-07-22 1
"88" 2021-04-14 2
"89" 2021-07-20 1
"90" 2021-08-05 1
"91" 2021-07-18 9
"92" 2021-03-29 96
"93" 2021-10-18 2
"94" 2021-10-14 1
"95" 2021-10-21 1
"96" 2021-10-21 1
"97" 2021-10-14 1
"98" 2021-07-05 13
"99" 2021-08-01 1
"100" 2021-07-18 10
"101" 2021-09-29 1
"102" 2021-05-23 11
"103" 2021-08-10 1
"104" 2021-07-18 2
"105" 2021-07-18 3
"106" 2021-09-04 1
"107" 2021-07-13 2
"108" 2021-05-19 75
"109" 2021-11-07 1
"110" 2021-08-22 1
"111" 2021-09-20 1
"112" 2021-08-21 1
"113" 2021-08-20 1
"114" 2021-04-23 131
"115" 2021-08-16 1
"116" 2021-07-28 1
"117" 2021-09-06 1
"118" 2021-01-06 38
"119" 2021-07-28 1
"120" 2021-08-11 8
"121" 2021-10-21 1
"122" 2021-10-11 1
"123" 2021-06-18 20
"124" 2021-07-26 1
"125" 2021-07-25 1
"126" 2021-08-28 1
"127" 2021-08-09 1
"128" 2021-08-25 1
"129" 2021-08-09 1
"130" 2021-10-10 1
"131" 2021-08-09 8
"132" 2021-07-14 25
"133" 2021-08-06 1
"134" 2021-04-25 1
"135" 2021-07-25 1
"136" 2021-05-13 1
"137" 2021-04-12 52
"138" 2021-09-29 1
"139" 2021-06-21 2
"140" 2021-06-29 1
"141" 2021-06-16 1
"142" 2021-07-05 3
"143" 2021-09-30 1
"144" 2021-09-13 5
"145" 2021-07-17 1
"146" 2021-06-29 4
"147" 2021-08-03 1
"148" 2021-11-14 1
"149" 2021-11-03 1
"150" 2021-06-28 1
"151" 2021-07-20 1
"152" 2021-09-17 1
"153" 2021-07-09 1
"154" 2021-05-20 31
"155" 2021-07-27 2
"156" 2021-08-02 1
"157" 2021-07-18 3
"158" 2021-07-19 5
"159" 2021-07-30 1
"160" 2021-07-25 1
"161" 2021-08-12 1
"162" 2021-07-06 16
"163" 2021-10-03 1
"164" 2021-08-16 1
"165" 2021-06-13 2
"166" 2021-07-30 1
"167" 2021-09-01 1
"168" 2021-08-19 4
"169" 2021-08-13 1
"170" 2021-10-01 1
"171" 2021-11-02 1
"172" 2021-10-03 1
"173" 2021-09-06 1
"174" 2021-07-09 2
"175" 2021-11-03 1
"176" 2021-10-10 1
"177" 2021-07-28 1
"178" 2021-09-05 2
"179" 2021-06-27 5
"180" 2021-06-04 1
"181" 2021-08-05 1
"182" 2021-06-13 1
"183" 2021-06-17 2
"184" 2021-07-05 2
"185" 2021-07-24 1
"186" 2021-11-05 1
"187" 2021-07-27 5
"188" 2021-07-18 2
"189" 2021-07-17 1
"190" 2021-10-22 1
"191" 2021-10-11 1
"192" 2021-07-14 1
"193" 2021-07-25 1
"194" 2021-06-29 4
"195" 2021-07-19 3
"196" 2021-10-20 1
"197" 2021-10-02 1
"198" 2021-08-23 1
"199" 2021-09-13 5
"200" 2021-08-17 1
"201" 2021-08-01 1
"202" 2021-06-29 9
"203" 2021-06-11 7
"204" 2021-10-17 1
"205" 2021-09-14 3
"206" 2021-10-21 1
"207" 2021-07-18 19
"208" 2021-09-09 1
"209" 2021-08-03 2
"210" 2021-07-18 5
"211" 2021-10-21 1
"212" 2021-07-07 1
"213" 2021-07-27 2
"214" 2021-07-25 1
"215" 2021-05-31 13
"216" 2021-08-18 1
"217" 2021-08-18 1
"218" 2021-10-22 1
"219" 2021-07-05 2
"220" 2021-06-18 1
"221" 2021-09-25 1
"222" 2021-05-27 1
"223" 2021-10-10 1
"224" 2021-08-02 1
"225" 2021-10-21 1
"226" 2021-07-10 11
"227" 2021-10-18 1
"228" 2021-04-21 14
"229" 2021-08-13 1
"230" 2021-08-29 1
"231" 2021-07-18 1
"232" 2021-07-25 1
"233" 2021-10-06 1
"234" 2021-06-09 2
"235" 2021-07-06 1
"236" 2021-07-24 4
"237" 2021-08-05 1
"238" 2021-07-18 5
"239" 2021-06-17 2
"240" 2021-10-25 1
"241" 2021-06-23 71
"242" 2021-08-25 1
"243" 2021-06-07 1
"244" 2021-07-11 1
"245" 2021-06-13 1
"246" 2021-04-21 2
"247" 2021-10-02 1
"248" 2021-06-17 1
"249" 2021-10-06 1
"250" 2021-07-27 8
"251" 2021-08-25 1
"252" 2021-04-23 1
"253" 2021-06-13 1
"254" 2021-07-18 3
"255" 2021-08-02 2
"256" 2021-03-28 43
"257" 2021-09-13 1
"258" 2021-08-17 1
"259" 2021-08-25 1
"260" 2021-06-05 1
"261" 2021-06-05 6
"262" 2021-08-10 5
"263" 2021-08-18 2
"264" 2021-09-30 2
"265" 2021-08-13 1
"266" 2021-10-03 1
"267" 2021-07-03 1
"268" 2021-03-12 17
"269" 2021-09-06 1
"270" 2021-06-29 1
"271" 2021-08-01 1
"272" 2021-08-02 9
"273" 2021-08-10 1
"274" 2021-06-24 1
"275" 2021-08-21 1
"276" 2021-06-23 5
"277" 2021-08-30 1
"278" 2021-04-23 24
"279" 2021-08-19 3
"280" 2021-10-11 1
"281" 2021-08-22 1
"282" 2021-08-09 1
"283" 2021-07-25 1
"284" 2021-10-31 4
"285" 2021-08-25 1
"286" 2021-06-28 1
"287" 2021-06-10 1
"288" 2021-08-29 1
"289" 2021-07-22 1
"290" 2021-10-06 1
"291" 2021-06-28 1
"292" 2021-06-29 1
"293" 2021-06-21 2
"294" 2021-08-08 1
"295" 2021-07-26 6
"296" 2021-07-18 2
"297" 2021-08-12 4
"298" 2021-08-12 60
"299" 2021-07-25 1
"300" 2021-06-09 3
"301" 2021-06-14 2
"302" 2021-09-13 4
"303" 2021-09-13 8
"304" 2021-04-23 1
"305" 2021-10-21 1
"306" 2021-08-25 1
"307" 2021-10-22 1
"308" 2021-08-26 1
"309" 2021-08-21 2
"310" 2021-08-10 5
"311" 2021-05-05 2
"312" 2021-06-29 2
"313" 2021-08-15 1
"314" 2021-06-29 1
"315" 2021-06-07 2
"316" 2021-05-06 1
"317" 2021-06-08 1
"318" 2021-06-02 1
"319" 2021-05-13 7
"320" 2021-05-24 4
"321" 2021-10-21 1
