TMRCA,Lineage_size,Variant
2021-03-17,1,Alpha
2021-03-08,1,Alpha
2021-02-21,76,Alpha
2021-03-21,1,Alpha
2021-04-04,1,Alpha
2021-05-09,1,Alpha
2021-01-26,1,Alpha
2021-03-05,1,Alpha
2021-04-02,1,Alpha
2021-05-08,2,Alpha
2021-04-20,1,Alpha
2021-03-08,1,Alpha
2021-03-27,1,Alpha
2021-03-16,1,Alpha
2021-04-23,1,Alpha
2021-06-16,1,Alpha
2021-05-28,1,Alpha
2021-04-03,3,Alpha
2021-05-06,1,Alpha
2021-05-05,1,Alpha
2021-04-05,1,Alpha
2020-12-21,1,Alpha
2021-05-31,1,Alpha
2021-04-17,1,Alpha
2021-03-18,3,Alpha
2021-04-20,1,Alpha
2020-12-19,1,Alpha
2021-03-06,2,Alpha
2021-03-25,1,Alpha
2021-03-13,1,Alpha
2021-04-01,1,Alpha
2021-03-09,1,Alpha
2021-02-14,2,Alpha
2021-03-03,2,Alpha
2021-02-18,1,Alpha
2021-03-18,2,Alpha
2021-03-07,4,Alpha
2021-02-14,137,Alpha
2021-03-28,1,Alpha
2021-03-05,2,Alpha
2021-03-24,80,Alpha
2021-04-09,1,Alpha
2021-04-18,2,Alpha
2020-12-25,1,Alpha
2021-05-02,1,Alpha
2021-05-14,1,Alpha
2021-04-16,1,Alpha
2021-04-17,7,Alpha
2021-03-04,1,Alpha
2021-04-21,1,Alpha
2021-04-21,1,Alpha
2021-04-08,1,Alpha
2021-03-16,1,Alpha
2021-03-27,1,Alpha
2021-04-04,3,Alpha
2021-04-25,3,Alpha
2021-04-18,4,Alpha
2020-12-28,1,Alpha
2021-03-18,3,Alpha
2021-04-23,1,Alpha
2021-05-31,1,Alpha
2021-03-19,1,Alpha
2021-04-19,1,Alpha
2021-03-20,1,Alpha
2021-04-28,2,Alpha
2021-05-20,1,Alpha
2021-01-26,2,Alpha
2021-04-09,1,Alpha
2021-05-25,1,Alpha
2021-01-14,1,Alpha
2021-04-20,2,Alpha
2021-03-12,1,Alpha
2021-04-09,4,Alpha
2021-03-23,1,Alpha
2021-05-01,4,Alpha
2021-02-07,35,Alpha
2021-03-06,152,Alpha
2021-06-05,1,Alpha
2021-05-28,1,Alpha
2021-03-20,1,Alpha
2021-04-15,1,Alpha
2021-04-20,2,Alpha
2021-04-23,2,Alpha
2021-03-05,1,Alpha
2021-03-01,1,Alpha
2021-03-24,1,Alpha
2021-03-12,1,Alpha
2020-11-19,1,Alpha
2020-12-08,1,Alpha
2021-04-08,2,Alpha
2021-03-19,1,Alpha
2021-05-28,1,Alpha
2021-04-01,1,Alpha
2021-04-11,8,Alpha
2021-04-20,1,Alpha
2021-03-17,1,Alpha
2021-03-29,1,Alpha
2020-12-20,1,Alpha
2021-03-20,1,Alpha
2021-01-26,2,Alpha
2021-03-29,1,Alpha
2021-03-15,1,Alpha
2021-03-16,1,Alpha
2021-04-24,2,Alpha
2021-03-21,1,Alpha
2020-12-19,3,Alpha
2021-04-17,2,Alpha
2021-04-05,1,Alpha
2021-04-17,1,Alpha
2021-05-12,1,Alpha
2021-03-25,20,Alpha
2021-04-20,4,Alpha
2021-02-02,16,Alpha
2021-05-02,1,Alpha
2021-04-04,1,Alpha
2021-05-09,1,Alpha
2021-05-28,1,Alpha
2021-03-20,1,Alpha
2021-02-03,4,Alpha
2021-03-17,1,Alpha
2021-03-09,1,Alpha
2021-04-01,1,Alpha
2021-05-10,1,Alpha
2021-02-02,122,Alpha
2021-03-09,1,Alpha
2021-03-16,1,Alpha
2021-03-04,1,Alpha
2021-02-11,1,Alpha
2020-12-29,1,Alpha
2020-12-21,1,Alpha
2021-03-27,1,Alpha
2021-05-25,1,Alpha
2021-04-25,1,Alpha
2021-03-25,1,Alpha
2021-05-28,1,Alpha
2021-04-11,16,Alpha
2021-03-05,1,Alpha
2020-12-29,2,Alpha
2020-12-28,6,Alpha
2021-04-01,2,Alpha
2021-04-20,1,Alpha
2021-04-24,1,Alpha
2021-04-17,1,Alpha
2021-04-07,2,Alpha
2021-02-21,13,Alpha
2020-12-30,1,Alpha
2021-05-02,1,Alpha
2021-03-15,3,Alpha
2021-06-10,1,Alpha
2021-03-19,1,Alpha
2021-04-16,2,Alpha
2021-06-05,1,Alpha
2021-03-24,1,Alpha
2021-05-05,1,Alpha
2021-04-10,9,Alpha
2021-04-18,2,Alpha
2021-04-01,2,Alpha
2021-03-18,22,Alpha
2020-12-07,4,Alpha
2021-03-06,3,Alpha
2020-12-18,1,Alpha
2021-01-29,1,Alpha
2021-05-05,1,Alpha
2021-03-28,1,Alpha
2021-04-28,2,Alpha
2021-04-24,1,Alpha
2021-04-11,3,Alpha
2021-05-13,2,Alpha
2021-05-18,1,Alpha
2021-04-16,1,Alpha
2021-04-17,1,Alpha
2021-01-24,10,Alpha
2021-04-08,1,Alpha
2021-04-20,1,Alpha
2021-04-20,1,Alpha
2021-04-09,1,Alpha
2021-03-19,9,Alpha
2021-04-15,1,Alpha
2021-05-05,1,Alpha
2021-05-27,2,Alpha
2021-04-29,7,Alpha
2021-04-24,7,Alpha
2021-04-12,1,Alpha
2021-03-20,1,Alpha
2021-03-04,1,Alpha
2021-03-17,11,Alpha
2021-02-15,19,Alpha
2021-03-15,1,Alpha
2021-03-12,1,Alpha
2021-03-31,1,Alpha
2021-03-12,1,Alpha
2021-01-29,1,Alpha
2021-01-30,2,Alpha
2021-02-07,27,Alpha
2021-02-02,100,Alpha
2021-02-01,9,Alpha
2021-01-26,1,Alpha
2020-12-19,2,Alpha
2021-01-06,2,Alpha
2021-03-06,52,Alpha
2021-01-03,1,Alpha
2021-01-13,120,Alpha
2021-04-21,1,Alpha
2021-03-17,8,Alpha
2021-04-10,2,Alpha
2021-04-08,1,Alpha
2021-04-05,1,Alpha
2021-02-17,158,Alpha
2021-06-08,1,Alpha
2021-06-18,1,Alpha
2021-03-08,1,Alpha
2021-01-29,1,Alpha
2021-04-12,1,Alpha
2021-03-17,1,Alpha
2021-03-03,17,Alpha
2021-02-14,363,Alpha
2021-04-08,1,Alpha
2021-04-12,1,Alpha
2021-01-13,1,Alpha
2021-04-16,1,Alpha
2021-02-18,1,Alpha
2021-02-07,53,Alpha
2020-12-15,2,Alpha
2021-04-20,2,Alpha
2021-03-21,1,Alpha
2021-02-15,3,Alpha
2021-04-27,1,Alpha
2021-02-18,33,Alpha
2021-03-27,2,Alpha
2021-04-10,4,Alpha
2020-12-17,2,Alpha
2021-03-21,1,Alpha
2021-05-16,1,Alpha
2021-03-18,70,Alpha
2021-05-22,2,Alpha
2021-05-22,2,Alpha
2021-04-20,8,Alpha
2021-02-03,15,Alpha
2021-03-19,1,Alpha
2021-03-08,1,Alpha
2021-01-10,392,Alpha
2021-03-31,1,Alpha
2021-01-03,1434,Alpha
2021-05-09,1,Delta
2021-07-01,1,Delta
2021-06-17,1,Delta
2021-05-21,3,Delta
2021-04-17,62,Delta
2021-05-02,1,Delta
2021-06-06,1,Delta
2021-06-01,2,Delta
2021-04-23,2,Delta
2021-06-05,1,Delta
2021-06-08,1,Delta
2021-05-29,1,Delta
2021-04-15,1,Delta
2021-06-02,1,Delta
2021-05-25,3,Delta
2021-05-21,1,Delta
2021-05-14,53,Delta
2021-06-10,2,Delta
2021-06-13,1,Delta
2021-06-21,1,Delta
2021-06-02,2,Delta
2021-04-12,9,Delta
2021-05-17,1,Delta
2021-05-05,2,Delta
2021-06-14,1,Delta
2021-06-13,1,Delta
2021-07-01,1,Delta
2021-05-27,1,Delta
2021-05-06,1,Delta
2021-06-06,1,Delta
2021-06-08,1,Delta
2021-06-10,1,Delta
2021-06-24,1,Delta
2021-05-28,1,Delta
2021-06-21,1,Delta
2021-05-31,5,Delta
2021-05-28,1,Delta
2021-06-03,2,Delta
2021-06-17,1,Delta
2021-06-29,1,Delta
2021-04-23,1,Delta
2021-06-10,2,Delta
2021-06-05,1,Delta
2021-04-16,25,Delta
2021-06-09,1,Delta
2021-05-30,5,Delta
2021-06-10,1,Delta
2021-06-21,1,Delta
2021-06-04,1,Delta
2021-06-16,1,Delta
2021-05-14,21,Delta
2021-05-13,1,Delta
2021-04-25,1,Delta
2021-04-09,51,Delta
