"mrcas" "Lin_sizes"
"1" 2021-05-09 1
"2" 2021-05-10 5
"3" 2021-08-02 1
"4" 2021-06-12 1
"5" 2021-06-08 1
"6" 2021-07-25 1
"7" 2021-06-29 1
"8" 2021-06-24 1
"9" 2021-06-24 1
"10" 2021-06-24 1
"11" 2021-05-10 98
"12" 2021-05-31 1
"13" 2021-06-04 1
"14" 2021-04-16 1
"15" 2021-06-05 1
"16" 2021-06-09 1
"17" 2021-05-25 4
"18" 2021-04-24 2
"19" 2021-05-22 1
"20" 2021-08-13 1
"21" 2021-06-29 1
"22" 2021-08-09 1
"23" 2021-08-13 1
"24" 2021-07-29 1
"25" 2021-07-28 2
"26" 2021-07-20 1
"27" 2021-07-22 3
"28" 2021-03-29 59
"29" 2021-11-09 1
"30" 2021-08-28 2
"31" 2021-10-01 1
"32" 2021-05-21 3
"33" 2021-06-10 4
"34" 2021-06-18 1
"35" 2021-09-27 3
"36" 2021-10-02 1
"37" 2021-07-30 1
"38" 2021-10-12 2
"39" 2021-04-26 474
"40" 2021-10-06 1
"41" 2021-07-01 1
"42" 2021-07-27 4
"43" 2021-06-24 1
"44" 2021-06-23 1
"45" 2021-07-22 1
"46" 2021-10-29 1
"47" 2021-09-14 2
"48" 2021-09-06 5
"49" 2021-06-18 4
"50" 2021-06-03 17
"51" 2021-11-22 1
"52" 2021-09-02 23
"53" 2021-07-25 1
"54" 2021-10-05 7
"55" 2021-08-13 1
"56" 2021-10-15 1
"57" 2021-09-21 1
"58" 2021-10-03 1
"59" 2021-04-14 142
"60" 2021-10-12 4
"61" 2021-11-11 1
"62" 2021-09-14 1
"63" 2021-10-25 1
"64" 2021-09-21 5
"65" 2021-11-02 1
"66" 2021-10-28 1
"67" 2021-10-05 3
"68" 2021-07-29 1
"69" 2021-09-06 1
"70" 2021-04-26 37
"71" 2021-10-25 1
"72" 2021-09-14 3
"73" 2021-08-13 1
"74" 2021-09-07 4
"75" 2021-08-13 1
"76" 2021-09-23 7
"77" 2021-06-10 73
"78" 2021-09-06 1
"79" 2021-11-13 1
"80" 2021-08-13 2
"81" 2021-03-28 122
"82" 2021-10-25 1
"83" 2021-07-17 1
"84" 2021-11-02 1
"85" 2021-08-30 1
"86" 2021-10-25 5
"87" 2021-12-04 1
"88" 2021-11-20 1
"89" 2021-09-09 1
"90" 2021-09-04 1
"91" 2021-08-06 1
"92" 2021-07-20 1
"93" 2021-08-03 1
"94" 2021-06-20 1
"95" 2021-07-30 1
"96" 2021-05-25 1
"97" 2021-07-29 1
"98" 2021-05-19 2
"99" 2021-10-20 1
"100" 2021-06-02 30
"101" 2021-01-06 25
"102" 2021-06-11 1
"103" 2021-06-30 1
"104" 2021-08-09 31
"105" 2021-06-11 15
"106" 2021-09-01 1
"107" 2021-08-22 1
"108" 2021-01-06 49
"109" 2021-07-22 16
"110" 2021-10-21 1
"111" 2021-06-08 14
"112" 2021-10-24 1
"113" 2021-07-06 15
"114" 2021-11-02 6
"115" 2021-09-01 2
"116" 2021-08-07 4
"117" 2021-10-06 1
"118" 2021-06-01 65
"119" 2021-11-21 1
"120" 2021-11-02 1
"121" 2021-09-11 1
"122" 2021-08-21 1
"123" 2021-07-06 7
"124" 2021-11-02 2
"125" 2021-10-13 2
"126" 2021-08-03 1
"127" 2021-08-20 1
"128" 2021-06-29 7
"129" 2021-05-17 106
"130" 2021-07-14 1
"131" 2021-11-22 1
"132" 2021-11-16 1
"133" 2021-08-06 1
"134" 2021-09-09 1
"135" 2021-08-02 2
"136" 2021-11-10 1
"137" 2021-08-17 1
"138" 2021-06-20 10
"139" 2021-07-28 4
"140" 2021-11-05 1
"141" 2021-10-26 1
"142" 2021-04-05 9
"143" 2021-08-13 2
"144" 2021-09-27 10
"145" 2021-06-18 1
"146" 2021-04-26 9
"147" 2021-07-21 1
"148" 2021-08-10 1
"149" 2021-07-07 5
"150" 2021-07-16 1
"151" 2021-08-02 1
"152" 2021-07-24 1
"153" 2021-08-17 2
"154" 2021-08-12 1
"155" 2021-10-11 1
"156" 2021-09-01 1
"157" 2021-07-19 12
"158" 2021-08-09 15
"159" 2021-08-21 1
"160" 2021-09-05 1
"161" 2021-07-30 1
"162" 2021-05-15 1
"163" 2021-04-27 1
"164" 2021-04-10 52
"165" 2021-06-25 16
"166" 2021-01-04 6
"167" 2021-07-07 1
"168" 2021-08-12 1
"169" 2021-10-08 1
"170" 2021-06-30 6
"171" 2021-06-09 3
"172" 2021-07-07 4
"173" 2021-08-10 1
"174" 2021-06-28 1
"175" 2021-10-21 1
